Year,Round,Region Number,Region Name,Seed,ScoreA,TeamA,TeamB,ScoreB,Seed
2009,1,1,Midwest,1,74,Louisville,Morehead St,54,16
2009,1,1,Midwest,2,77,Michigan St,Robert Morris,62,15
2009,1,1,Midwest,3,84,Kansas,North Dakota St,74,14
2009,1,1,Midwest,4,69,Wake Forest,Cleveland St,84,13
2009,1,1,Midwest,5,71,Utah,Arizona,84,12
2009,1,1,Midwest,6,60,West Virginia,Dayton,68,11
2009,1,1,Midwest,7,55,Boston College,USC,72,10
2009,1,1,Midwest,8,72,Ohio St,Siena,74,9
2009,1,2,West,1,103,Connecticut,Chattanooga,47,16
2009,1,2,West,2,81,Memphis,Cal St Northridge,70,15
2009,1,2,West,3,78,Missouri,Cornell,59,14
2009,1,2,West,4,71,Washington,Mississippi St,58,13
2009,1,2,West,5,61,Purdue,Northern Iowa,56,12
2009,1,2,West,6,58,Marquette,Utah St,57,11
2009,1,2,West,7,71,California,Maryland,84,10
2009,1,2,West,8,66,BYU,Texas A&M,79,9
2009,1,3,East,1,72,Pittsburgh,East Tennessee St,62,16
2009,1,3,East,2,85,Duke,Binghamton,62,15
2009,1,3,East,3,80,Villanova,American,67,14
2009,1,3,East,4,77,Xavier,Portland St,59,13
2009,1,3,East,5,59,Florida St,Wisconsin,61,12
2009,1,3,East,6,65,UCLA,VCU,64,11
2009,1,3,East,7,76,Texas,Minnesota,62,10
2009,1,3,East,8,77,Oklahoma St,Tennessee,75,9
2009,1,4,South,1,101,North Carolina,Radford,58,16
2009,1,4,South,2,82,Oklahoma,Morgan St,54,15
2009,1,4,South,3,59,Syracuse,Stephen F Austin,44,14
2009,1,4,South,4,77,Gonzaga,Akron,64,13
2009,1,4,South,5,72,Illinois,Western Kentucky,76,12
2009,1,4,South,6,66,Arizona St,Temple,57,11
2009,1,4,South,7,59,Clemson,Michigan,62,10
2009,1,4,South,8,75,LSU,Butler,71,9
2009,2,1,Midwest,1,79,Louisville,Siena,72,9
2009,2,1,Midwest,2,74,Michigan St,USC,69,10
2009,2,1,Midwest,3,60,Kansas,Dayton,43,11
2009,2,1,Midwest,13,57,Cleveland St,Arizona,71,12
2009,2,2,West,1,92,Connecticut,Texas A&M,66,9
2009,2,2,West,2,89,Memphis,Maryland,70,10
2009,2,2,West,3,83,Missouri,Marquette,79,6
2009,2,2,West,4,74,Washington,Purdue,76,5
2009,2,3,East,1,84,Pittsburgh,Oklahoma St,76,8
2009,2,3,East,2,74,Duke,Texas,69,7
2009,2,3,East,3,89,Villanova,UCLA,69,6
2009,2,3,East,4,60,Xavier,Wisconsin,49,12
2009,2,4,South,1,84,North Carolina,LSU,70,8
2009,2,4,South,2,73,Oklahoma,Michigan,63,10
2009,2,4,South,3,78,Syracuse,Arizona St,67,6
2009,2,4,South,4,83,Gonzaga,Western Kentucky,81,12
2009,3,1,Midwest,1,103,Louisville,Arizona,64,12
2009,3,1,Midwest,2,67,Michigan St,Kansas,62,3
2009,3,2,West,1,72,Connecticut,Purdue,60,5
2009,3,2,West,2,91,Memphis,Missouri,102,3
2009,3,3,East,1,60,Pittsburgh,Xavier,55,4
2009,3,3,East,2,54,Duke,Villanova,77,3
2009,3,4,South,1,98,North Carolina,Gonzaga,77,4
2009,3,4,South,2,84,Oklahoma,Syracuse,71,3
2009,4,1,Midwest,1,52,Louisville,Michigan St,64,2
2009,4,2,West,1,82,Connecticut,Missouri,75,3
2009,4,3,East,1,76,Pittsburgh,Villanova,78,3
2009,4,4,South,1,72,North Carolina,Oklahoma,60,2
2009,5,1,Final Four,2,82,Michigan St,Connecticut,73,1
2009,5,2,Final Four,3,69,Villanova,North Carolina,83,1
2009,6,1,Championship,2,72,Michigan St,North Carolina,89,1
2010,1,1,Midwest,1,90,Kansas,Lehigh,74,16
2010,1,1,Midwest,2,68,Ohio St,Santa Barbara,51,15
2010,1,1,Midwest,3,83,Georgetown,Ohio,97,14
2010,1,1,Midwest,4,89,Maryland,Houston,77,13
2010,1,1,Midwest,5,70,Michigan St,New Mexico St,67,12
2010,1,1,Midwest,6,62,Tennessee,San Diego St,59,11
2010,1,1,Midwest,7,59,Oklahoma St,Georgia Tech,64,10
2010,1,1,Midwest,8,66,UNLV,Northern Iowa,69,9
2010,1,2,West,1,79,Syracuse,Vermont,56,16
2010,1,2,West,2,82,Kansas St,North Texas,62,15
2010,1,2,West,3,89,Pittsburgh,Oakland,66,14
2010,1,2,West,4,65,Vanderbilt,Murray St,66,13
2010,1,2,West,5,77,Butler,UTEP,59,12
2010,1,2,West,6,65,Xavier,Minnesota,54,11
2010,1,2,West,7,99,BYU,Florida,92,10
2010,1,2,West,8,67,Gonzaga,Florida St,60,9
2010,1,3,East,1,100,Kentucky,East Tennessee St,71,16
2010,1,3,East,2,77,West Virginia,Morgan St,50,15
2010,1,3,East,3,62,New Mexico,Montana,57,14
2010,1,3,East,4,53,Wisconsin,Wofford,49,13
2010,1,3,East,5,65,Temple,Cornell,78,12
2010,1,3,East,6,78,Marquette,Washington,80,11
2010,1,3,East,7,78,Clemson,Missouri,86,10
2010,1,3,East,8,80,Texas,Wake Forest,81,9
2010,1,4,South,1,73,Duke,Arkansas Pine Bluff,44,16
2010,1,4,South,2,73,Villanova,Robert Morris,70,15
2010,1,4,South,3,68,Baylor,Sam Houston St,59,14
2010,1,4,South,4,72,Purdue,Siena,64,13
2010,1,4,South,5,69,Texas A&M,Utah St,53,12
2010,1,4,South,6,50,Notre Dame,Old Dominion,51,11
2010,1,4,South,7,71,Richmond,St Marys,80,10
2010,1,4,South,8,77,California,Louisville,62,9
2010,2,1,Midwest,1,67,Kansas,Northern Iowa,69,9
2010,2,1,Midwest,2,75,Ohio St,Georgia Tech,66,10
2010,2,1,Midwest,14,68,Ohio,Tennessee,83,6
2010,2,1,Midwest,4,83,Maryland,Michigan St,85,5
2010,2,2,West,1,87,Syracuse,Gonzaga,65,8
2010,2,2,West,2,84,Kansas St,BYU,72,7
2010,2,2,West,3,68,Pittsburgh,Xavier,71,6
2010,2,2,West,13,52,Murray St,Butler,54,5
2010,2,3,East,1,90,Kentucky,Wake Forest,60,9
2010,2,3,East,2,68,West Virginia,Missouri,59,10
2010,2,3,East,3,64,New Mexico,Washington,82,11
2010,2,3,East,4,69,Wisconsin,Cornell,87,12
2010,2,4,South,1,68,Duke,California,53,8
2010,2,4,South,2,68,Villanova,St Marys,75,10
2010,2,4,South,3,76,Baylor,Old Dominion,68,11
2010,2,4,South,4,63,Purdue,Texas A&M,61,5
2010,3,1,Midwest,9,52,Northern Iowa,Michigan St,59,5
2010,3,1,Midwest,2,73,Ohio St,Tennessee,76,6
2010,3,2,West,1,59,Syracuse,Butler,63,5
2010,3,2,West,2,101,Kansas St,Xavier,96,6
2010,3,3,East,1,62,Kentucky,Cornell,45,12
2010,3,3,East,2,69,West Virginia,Washington,56,11
2010,3,4,South,1,70,Duke,Purdue,57,4
2010,3,4,South,10,49,St Marys,Baylor,72,3
2010,4,1,Midwest,5,70,Michigan St,Tennessee,69,6
2010,4,2,West,5,63,Butler,Kansas St,56,2
2010,4,3,East,1,66,Kentucky,West Virginia,73,2
2010,4,4,South,1,78,Duke,Baylor,71,3
2010,5,1,Final Four,5,50,Michigan St,Butler,52,5
2010,5,2,Final Four,2,57,West Virginia,Duke,78,1
2010,6,1,Championship,5,59,Butler,Duke,61,1
2011,1,1,East,1,75,Ohio St,Texas San Antonio,46,16
2011,1,1,East,2,102,North Carolina,Long Island Brooklyn,87,15
2011,1,1,East,3,77,Syracuse,Indiana St,60,14
2011,1,1,East,4,59,Kentucky,Princeton,57,13
2011,1,1,East,5,84,West Virginia,Clemson,78,12
2011,1,1,East,6,55,Xavier,Marquette,66,11
2011,1,1,East,7,68,Washington,Georgia,65,10
2011,1,1,East,8,61,George Mason,Villanova,57,9
2011,1,2,West,1,87,Duke,Hampton,45,16
2011,1,2,West,2,68,San Diego St,Northern Colorado,50,15
2011,1,2,West,3,81,Connecticut,Bucknell,52,14
2011,1,2,West,4,85,Texas,Oakland,81,13
2011,1,2,West,5,77,Arizona,Memphis,75,12
2011,1,2,West,6,78,Cincinnati,Missouri,63,11
2011,1,2,West,7,66,Temple,Penn St,64,10
2011,1,2,West,8,75,Michigan,Tennessee,45,9
2011,1,3,Southwest,1,72,Kansas,Boston University,53,16
2011,1,3,Southwest,2,69,Notre Dame,Akron,56,15
2011,1,3,Southwest,3,65,Purdue,St Peters,43,14
2011,1,3,Southwest,4,61,Louisville,Morehead St,62,13
2011,1,3,Southwest,5,66,Vanderbilt,Richmond,69,12
2011,1,3,Southwest,6,56,Georgetown,VCU,74,11
2011,1,3,Southwest,7,50,Texas A&M,Florida St,57,10
2011,1,3,Southwest,8,62,UNLV,Illinois,73,9
2011,1,4,Southeast,1,74,Pittsburgh,UNC Asheville,51,16
2011,1,4,Southeast,2,79,Florida,Santa Barbara,51,15
2011,1,4,Southeast,3,74,BYU,Wofford,66,14
2011,1,4,Southeast,4,72,Wisconsin,Belmont,58,13
2011,1,4,Southeast,5,73,Kansas St,Utah St,68,12
2011,1,4,Southeast,6,71,St Johns,Gonzaga,86,11
2011,1,4,Southeast,7,78,UCLA,Michigan St,76,10
2011,1,4,Southeast,8,60,Butler,Old Dominion,58,9
2011,2,1,East,1,98,Ohio St,George Mason,66,8
2011,2,1,East,2,86,North Carolina,Washington,83,7
2011,2,1,East,3,62,Syracuse,Marquette,66,11
2011,2,1,East,4,71,Kentucky,West Virginia,63,5
2011,2,2,West,1,73,Duke,Michigan,71,8
2011,2,2,West,2,71,San Diego St,Temple,64,7
2011,2,2,West,3,69,Connecticut,Cincinnati,58,6
2011,2,2,West,4,69,Texas,Arizona,70,5
2011,2,3,Southwest,1,73,Kansas,Illinois,59,9
2011,2,3,Southwest,2,57,Notre Dame,Florida St,71,10
2011,2,3,Southwest,3,76,Purdue,VCU,94,11
2011,2,3,Southwest,13,48,Morehead St,Richmond,65,12
2011,2,4,Southeast,1,70,Pittsburgh,Butler,71,8
2011,2,4,Southeast,2,73,Florida,UCLA,65,7
2011,2,4,Southeast,3,89,BYU,Gonzaga,67,11
2011,2,4,Southeast,4,70,Wisconsin,Kansas St,65,5
2011,3,1,East,1,60,Ohio St,Kentucky,62,4
2011,3,1,East,2,81,North Carolina,Marquette,63,11
2011,3,2,West,1,77,Duke,Arizona,93,5
2011,3,2,West,2,67,San Diego St,Connecticut,74,3
2011,3,3,Southwest,1,77,Kansas,Richmond,57,12
2011,3,3,Southwest,10,71,Florida St,VCU,72,11
2011,3,4,Southeast,8,61,Butler,Wisconsin,54,4
2011,3,4,Southeast,2,83,Florida,BYU,74,3
2011,4,1,East,4,76,Kentucky,North Carolina,69,2
2011,4,2,West,5,63,Arizona,Connecticut,65,3
2011,4,3,Southwest,1,61,Kansas,VCU,71,11
2011,4,4,Southeast,8,74,Butler,Florida,71,2
2011,5,1,Final Four,4,55,Kentucky,Connecticut,56,3
2011,5,2,Final Four,11,62,VCU,Butler,70,8
2011,6,1,Championship,3,53,Connecticut,Butler,41,8
2012,1,1,South,1,81,Kentucky,Western Kentucky,66,16
2012,1,1,South,2,70,Duke,Lehigh,75,15
2012,1,1,South,3,68,Baylor,South Dakota St,60,14
2012,1,1,South,4,79,Indiana,New Mexico St,66,13
2012,1,1,South,5,59,Wichita St,VCU,62,12
2012,1,1,South,6,64,UNLV,Colorado,68,11
2012,1,1,South,7,63,Notre Dame,Xavier,67,10
2012,1,1,South,8,77,Iowa St,Connecticut,64,9
2012,1,2,West,1,89,Michigan St,Long Island Brooklyn,67,16
2012,1,2,West,2,84,Missouri,Norfolk St,86,15
2012,1,2,West,3,88,Marquette,BYU,68,14
2012,1,2,West,4,69,Louisville,Davidson,62,13
2012,1,2,West,5,75,New Mexico,Long Beach St,68,12
2012,1,2,West,6,58,Murray St,Colorado St,41,11
2012,1,2,West,7,71,Florida,Virginia,45,10
2012,1,2,West,8,54,Memphis,St Louis,61,9
2012,1,3,East,1,72,Syracuse,UNC Asheville,65,16
2012,1,3,East,2,78,Ohio St,Loyola Maryland,59,15
2012,1,3,East,3,86,Florida St,St Bonaventure,63,14
2012,1,3,East,4,73,Wisconsin,Montana,49,13
2012,1,3,East,5,79,Vanderbilt,Harvard,70,12
2012,1,3,East,6,65,Cincinnati,Texas,59,11
2012,1,3,East,7,77,Gonzaga,West Virginia,54,10
2012,1,3,East,8,70,Kansas St,Southern Mississippi,64,9
2012,1,4,Midwest,1,77,North Carolina,Vermont,58,16
2012,1,4,Midwest,2,65,Kansas,Detroit,50,15
2012,1,4,Midwest,3,74,Georgetown,Belmont,59,14
2012,1,4,Midwest,4,60,Michigan,Ohio,65,13
2012,1,4,Midwest,5,44,Temple,South Florida,58,12
2012,1,4,Midwest,6,65,San Diego St,NC State,79,11
2012,1,4,Midwest,7,69,St Marys,Purdue,72,10
2012,1,4,Midwest,8,58,Creighton,Alabama,57,9
2012,2,1,South,1,87,Kentucky,Iowa St,71,8
2012,2,1,South,15,58,Lehigh,Xavier,70,10
2012,2,1,South,3,80,Baylor,Colorado,63,11
2012,2,1,South,4,63,Indiana,VCU,61,12
2012,2,2,West,1,65,Michigan St,St Louis,61,9
2012,2,2,West,15,50,Norfolk St,Florida,84,7
2012,2,2,West,3,62,Marquette,Murray St,53,6
2012,2,2,West,4,59,Louisville,New Mexico,58,5
2012,2,3,East,1,75,Syracuse,Kansas St,59,8
2012,2,3,East,2,73,Ohio St,Gonzaga,66,7
2012,2,3,East,3,56,Florida St,Cincinnati,62,6
2012,2,3,East,4,60,Wisconsin,Vanderbilt,57,5
2012,2,4,Midwest,1,87,North Carolina,Creighton,73,8
2012,2,4,Midwest,2,63,Kansas,Purdue,60,10
2012,2,4,Midwest,3,63,Georgetown,NC State,88,11
2012,2,4,Midwest,13,62,Ohio,South Florida,56,12
2012,3,1,South,1,102,Kentucky,Indiana,90,4
2012,3,1,South,10,70,Xavier,Baylor,75,3
2012,3,2,West,1,44,Michigan St,Louisville,57,4
2012,3,2,West,7,68,Florida,Marquette,58,3
2012,3,3,East,1,84,Syracuse,Wisconsin,83,4
2012,3,3,East,2,81,Ohio St,Cincinnati,66,6
2012,3,4,Midwest,1,73,North Carolina,Ohio,65,13
2012,3,4,Midwest,2,60,Kansas,NC State,57,11
2012,4,1,South,1,82,Kentucky,Baylor,70,3
2012,4,2,West,4,72,Louisville,Florida,68,7
2012,4,3,East,1,70,Syracuse,Ohio St,77,2
2012,4,4,Midwest,1,67,North Carolina,Kansas,80,2
2012,5,1,Final Four,1,69,Kentucky,Louisville,61,4
2012,5,2,Final Four,2,62,Ohio St,Kansas,64,2
2012,6,1,Championship,1,67,Kentucky,Kansas,59,2
2013,1,1,Midwest,1,79,Louisville,North Carolina A&T,48,16
2013,1,1,Midwest,2,73,Duke,Albany,61,15
2013,1,1,Midwest,3,65,Michigan St,Valparaiso,54,14
2013,1,1,Midwest,4,64,St Louis,New Mexico St,44,13
2013,1,1,Midwest,5,55,Oklahoma St,Oregon,68,12
2013,1,1,Midwest,6,54,Memphis,St Marys,52,11
2013,1,1,Midwest,7,67,Creighton,Cincinnati,63,10
2013,1,1,Midwest,8,84,Colorado St,Missouri,72,9
2013,1,2,West,1,64,Gonzaga,Southern,58,16
2013,1,2,West,2,95,Ohio St,Iona,70,15
2013,1,2,West,3,62,New Mexico,Harvard,68,14
2013,1,2,West,4,61,Kansas St,La Salle,63,13
2013,1,2,West,5,46,Wisconsin,Ole Miss,57,12
2013,1,2,West,6,81,Arizona,Belmont,64,11
2013,1,2,West,7,58,Notre Dame,Iowa St,76,10
2013,1,2,West,8,55,Pittsburgh,Wichita St,73,9
2013,1,3,South,1,64,Kansas,Western Kentucky,57,16
2013,1,3,South,2,68,Georgetown,Florida Gulf Coast,78,15
2013,1,3,South,3,79,Florida,Northwestern St,47,14
2013,1,3,South,4,71,Michigan,South Dakota St,56,13
2013,1,3,South,5,88,VCU,Akron,42,12
2013,1,3,South,6,63,UCLA,Minnesota,83,11
2013,1,3,South,7,70,San Diego St,Oklahoma,55,10
2013,1,3,South,8,78,North Carolina,Villanova,71,9
2013,1,4,East,1,83,Indiana,James Madison,62,16
2013,1,4,East,2,78,Miami,Pacific,49,15
2013,1,4,East,3,59,Marquette,Davidson,58,14
2013,1,4,East,4,81,Syracuse,Montana,34,13
2013,1,4,East,5,61,UNLV,California,64,12
2013,1,4,East,6,68,Butler,Bucknell,56,11
2013,1,4,East,7,57,Illinois,Colorado,49,10
2013,1,4,East,8,72,NC State,Temple,76,9
2013,2,1,Midwest,1,82,Louisville,Colorado St,56,8
2013,2,1,Midwest,2,66,Duke,Creighton,50,7
2013,2,1,Midwest,3,70,Michigan St,Memphis,48,6
2013,2,1,Midwest,4,57,St Louis,Oregon,74,12
2013,2,2,West,1,70,Gonzaga,Wichita St,76,9
2013,2,2,West,2,78,Ohio St,Iowa St,75,10
2013,2,2,West,14,51,Harvard,Arizona,74,6
2013,2,2,West,13,76,La Salle,Ole Miss,74,12
2013,2,3,South,1,70,Kansas,North Carolina,58,8
2013,2,3,South,15,81,Florida Gulf Coast,San Diego St,71,7
2013,2,3,South,3,78,Florida,Minnesota,64,11
2013,2,3,South,4,78,Michigan,VCU,53,5
2013,2,4,East,1,58,Indiana,Temple,52,9
2013,2,4,East,2,63,Miami,Illinois,59,7
2013,2,4,East,3,74,Marquette,Butler,72,6
2013,2,4,East,4,66,Syracuse,California,60,12
2013,3,1,Midwest,1,77,Louisville,Oregon,69,12
2013,3,1,Midwest,2,71,Duke,Michigan St,61,3
2013,3,2,West,9,72,Wichita St,La Salle,58,13
2013,3,2,West,2,73,Ohio St,Arizona,70,6
2013,3,3,South,1,85,Kansas,Michigan,87,4
2013,3,3,South,15,50,Florida Gulf Coast,Florida,62,3
2013,3,4,East,1,50,Indiana,Syracuse,61,4
2013,3,4,East,2,61,Miami,Marquette,71,3
2013,4,1,Midwest,1,85,Louisville,Duke,63,2
2013,4,2,West,9,70,Wichita St,Ohio St,66,2
2013,4,3,South,4,79,Michigan,Florida,59,3
2013,4,4,East,4,55,Syracuse,Marquette,39,3
2013,5,1,Final Four,1,72,Louisville,Wichita St,68,9
2013,5,2,Final Four,4,61,Michigan,Syracuse,56,4
2013,6,1,Championship,1,82,Louisville,Michigan,76,4
2014,1,1,South,1,67,Florida,Albany,55,16
2014,1,1,South,2,80,Kansas,Eastern Kentucky,69,15
2014,1,1,South,3,77,Syracuse,Western Michigan,53,14
2014,1,1,South,4,76,UCLA,Tulsa,59,13
2014,1,1,South,5,75,VCU,Stephen F Austin,77,12
2014,1,1,South,6,59,Ohio St,Dayton,60,11
2014,1,1,South,7,53,New Mexico,Stanford,58,10
2014,1,1,South,8,48,Colorado,Pittsburgh,77,9
2014,1,2,East,1,70,Virginia,Coastal Carolina,59,16
2014,1,2,East,2,73,Villanova,Wisconsin Milwaukee,53,15
2014,1,2,East,3,93,Iowa St,North Carolina Central,75,14
2014,1,2,East,4,93,Michigan St,Delaware,78,13
2014,1,2,East,5,57,Cincinnati,Harvard,61,12
2014,1,2,East,6,79,North Carolina,Providence,77,11
2014,1,2,East,7,89,Connecticut,St Josephs,81,10
2014,1,2,East,8,71,Memphis,George Washington,66,9
2014,1,3,West,1,88,Arizona,Weber St,59,16
2014,1,3,West,2,75,Wisconsin,American,35,15
2014,1,3,West,3,76,Creighton,Louisiana Lafayette,66,14
2014,1,3,West,4,73,San Diego St,New Mexico St,69,13
2014,1,3,West,5,75,Oklahoma,North Dakota St,80,12
2014,1,3,West,6,74,Baylor,Nebraska,60,11
2014,1,3,West,7,87,Oregon,BYU,68,10
2014,1,3,West,8,85,Gonzaga,Oklahoma St,77,9
2014,1,4,Midwest,1,64,Wichita St,Cal Poly,37,16
2014,1,4,Midwest,2,57,Michigan,Wofford,40,15
2014,1,4,Midwest,3,71,Duke,Mercer,78,14
2014,1,4,Midwest,4,71,Louisville,Manhattan,64,13
2014,1,4,Midwest,5,83,St Louis,NC State,80,12
